CardPrintToday,CityName,TotalNoOfPlasticCardPrint_As_On_Date,WellnessCentreName
0,Jabalpur,1012,"Head Post Office Compound"
0,Jabalpur,406,"Napier Town"
0,Jabalpur,294,"Vaidyanathan Nagar"
0,Patna,18,Budhmarg
0,Patna,4,Gaya
0,Patna,6,"Patna City"
0,Pune,1,Camp
0,Hyderabad,2,Vijayawada
0,Jabalpur,1012,"Head Post Office Compound"
0,Patna,4,"Boring Canal Road"
0,Patna,4,Muzaffarpur
0,Patna,6,"Patna City"
0,Patna,15,"Salimpur Dumra"
0,Pune,1,Camp
0,Hyderabad,2,Vijayawada
0,Jabalpur,1012,"Head Post Office Compound"
0,Jabalpur,1012,"Head Post Office Compound"
0,Jabalpur,429,"Kamla Nehru Nagar"
0,Hyderabad,2,Vijayawada
0,Jabalpur,294,"Vaidyanathan Nagar"
0,Hyderabad,2,Vijayawada
0,Jabalpur,406,"Napier Town"
1,Pune,1,Camp
0,Jabalpur,1012,"Head Post Office Compound"
1,Pune,1,Camp
0,Jabalpur,429,"Kamla Nehru Nagar"
0,Patna,18,Budhmarg
0,Patna,4,Darbhanga
0,Pune,1,Camp
0,Patna,18,Budhmarg
0,Patna,4,Gaya
0,Patna,4,Muzaffarpur
0,Pune,1,Camp
0,Jabalpur,1012,"Head Post Office Compound"
0,Patna,18,Budhmarg
0,Patna,4,Muzaffarpur
0,Patna,6,"Patna City"
0,Patna,15,"Salimpur Dumra"
0,Patna,2,Chhapra
0,Patna,4,Gaya
0,Patna,4,Muzaffarpur
0,Jabalpur,1012,"Head Post Office Compound"
0,Patna,4,Darbhanga
0,Patna,10,Kankarbagh
0,Hyderabad,2,Vijayawada
0,Jabalpur,429,"Kamla Nehru Nagar"
0,Bengaluru,4,Gangenahali
0,Patna,4,Gaya
0,Patna,10,Kankarbagh
0,Pune,1,Camp
0,Hyderabad,1,Himayatnagar
0,Patna,6,"Patna City"
0,Patna,15,"Salimpur Dumra"
0,Hyderabad,2,Vijayawada
0,Jabalpur,406,"Napier Town"
0,Jabalpur,294,"Vaidyanathan Nagar"
0,Patna,4,Muzaffarpur
0,Pune,1,Mukundnagar
0,DELHI/HQ/DIRECTORATE/MINISTRY,7,Faridabad
0,DELHI/HQ/DIRECTORATE/MINISTRY,2,"Gole Market"
0,DELHI/HQ/DIRECTORATE/MINISTRY,2,"Janak Puri-1"
0,DELHI/HQ/DIRECTORATE/MINISTRY,5,Kalkaji-I
0,Kolkata,80,BEHALA
0,Kolkata,15,Jalpaiguri
0,Kolkata,43,"Lake Area"
0,Patna,6,"Patna City"
0,Pune,1,Camp
0,Jabalpur,429,"Kamla Nehru Nagar"
0,Jabalpur,294,"Vaidyanathan Nagar"
0,Patna,15,"Salimpur Dumra"
0,Pune,1,Mukundnagar
0,Bengaluru,12,Domlur
0,Bengaluru,4,Gangenahali
0,DELHI/HQ/DIRECTORATE/MINISTRY,4,Gurugram
0,DELHI/HQ/DIRECTORATE/MINISTRY,4,"Janak Puri-1"
0,DELHI/HQ/DIRECTORATE/MINISTRY,2,"Kidwai Nagar"
0,DELHI/HQ/DIRECTORATE/MINISTRY,2,"Sarita Vihar"
0,Hyderabad,1,Himayatnagar
0,Jabalpur,406,"Napier Town"
0,Patna,4,"Boring Canal Road"
0,Patna,4,Gaya
0,Patna,10,Kankarbagh
0,Bengaluru,12,Domlur
0,DELHI/HQ/DIRECTORATE/MINISTRY,2,"Kidwai Nagar"
0,Kolkata,124,"BBD Bag"
0,Kolkata,15,"Bhowanipore- Kalighat"
0,Kolkata,65,Doverlane
0,Kolkata,116,"Ishapore CGHS Wellness Centre"
0,Kolkata,43,"Lake Area"
0,Kolkata,57,"Mint Colony"
0,Kolkata,67,Narkeldanga
0,Patna,4,"Boring Canal Road"
0,Pune,1,Mukundnagar
0,Bengaluru,12,Domlur
0,DELHI/HQ/DIRECTORATE/MINISTRY,14,Faridabad
0,DELHI/HQ/DIRECTORATE/MINISTRY,8,"Rajouri Garden"
0,DELHI/HQ/DIRECTORATE/MINISTRY,6,SubziMandi
0,Kolkata,149,Airport
0,Kolkata,67,Narkeldanga
0,Kolkata,127,Rajdanga
0,Patna,4,Darbhanga
0,Pune,1,Camp
0,DELHI/HQ/DIRECTORATE/MINISTRY,24,"Pushp Vihar"
0,DELHI/HQ/DIRECTORATE/MINISTRY,8,"Rajouri Garden"
0,DELHI/HQ/DIRECTORATE/MINISTRY,2,"Sarita Vihar"
0,DELHI/HQ/DIRECTORATE/MINISTRY,6,SubziMandi
0,Hyderabad,1,Himayatnagar
0,Jabalpur,406,"Napier Town"
0,Jabalpur,663,"Westland Khamariya"
0,Kolkata,15,Jalpaiguri
0,Kolkata,59,"Lake Town"
0,Kolkata,57,"Mint Colony"
0,Patna,4,"Boring Canal Road"
0,Patna,2,Chhapra
0,Patna,10,Kankarbagh
0,Pune,1,Mukundnagar
0,Bengaluru,4,Gangenahali
0,DELHI/HQ/DIRECTORATE/MINISTRY,10,Kalkaji-I
0,DELHI/HQ/DIRECTORATE/MINISTRY,2,"Sarita Vihar"
0,DELHI/HQ/DIRECTORATE/MINISTRY,6,"Vasant Vihar"
0,Hyderabad,1,Himayatnagar
0,Hyderabad,2,Vijayawada
0,Jabalpur,294,"Vaidyanathan Nagar"
0,Kolkata,19,"AIIH&PH Campus"
0,Kolkata,80,BEHALA
0,Kolkata,65,Doverlane
0,Patna,4,Gaya
0,DELHI/HQ/DIRECTORATE/MINISTRY,14,Dwarka-23
0,DELHI/HQ/DIRECTORATE/MINISTRY,14,Faridabad
0,DELHI/HQ/DIRECTORATE/MINISTRY,4,"Gole Market"
0,DELHI/HQ/DIRECTORATE/MINISTRY,4,"Janak Puri-1"
0,DELHI/HQ/DIRECTORATE/MINISTRY,4,"R.K. Puram V,Sec.-12"
0,DELHI/HQ/DIRECTORATE/MINISTRY,6,Shahdara
0,Kolkata,116,"Ishapore CGHS Wellness Centre"
0,Nagpur,4,"Seminary Hills"
0,Patna,4,"Boring Canal Road"
0,DELHI/HQ/DIRECTORATE/MINISTRY,4,"Gole Market"
0,DELHI/HQ/DIRECTORATE/MINISTRY,4,Gurugram
0,DELHI/HQ/DIRECTORATE/MINISTRY,10,Kalkaji-I
0,DELHI/HQ/DIRECTORATE/MINISTRY,2,"Sarita Vihar"
0,Kolkata,117,Belvedere
0,Kolkata,28,"Bhowanipore- Kalighat"
0,Kolkata,64,"Salt Lake EB"
0,Nagpur,4,"Seminary Hills"
0,Patna,4,Darbhanga
0,Patna,4,Muzaffarpur
0,Bengaluru,12,Domlur
0,DELHI/HQ/DIRECTORATE/MINISTRY,6,Shahdara
0,Kolkata,438,Airport
0,Kolkata,117,Belvedere
0,Kolkata,28,"Bhowanipore- Kalighat"
0,Kolkata,175,Doverlane
0,Kolkata,239,Rajdanga
0,Kolkata,64,"Salt Lake EB"
0,Nagpur,4,"Seminary Hills"
0,Patna,4,"Boring Canal Road"
0,Patna,18,Budhmarg
0,Patna,2,Chhapra
0,Patna,4,Gaya
0,DELHI/HQ/DIRECTORATE/MINISTRY,8,"Greater Noida"
0,DELHI/HQ/DIRECTORATE/MINISTRY,4,"Janak Puri-1"
0,DELHI/HQ/DIRECTORATE/MINISTRY,6,SubziMandi
0,Jabalpur,429,"Kamla Nehru Nagar"
0,Kolkata,373,"BBD Bag"
0,Kolkata,117,Belvedere
0,Kolkata,175,Doverlane
0,Kolkata,141,"Salt Lake IC"
0,Kolkata,176,Tollygunj
0,Nagpur,4,"Seminary Hills"
0,Patna,4,Darbhanga
0,Patna,10,Kankarbagh
0,Patna,15,"Salimpur Dumra"
0,Pune,1,Camp
0,Pune,1,Mukundnagar
0,DELHI/HQ/DIRECTORATE/MINISTRY,14,Faridabad
0,DELHI/HQ/DIRECTORATE/MINISTRY,4,"Janak Puri-1"
0,DELHI/HQ/DIRECTORATE/MINISTRY,8,"Rajouri Garden"
0,DELHI/HQ/DIRECTORATE/MINISTRY,2,"Sarita Vihar"
0,Kolkata,239,Rajdanga
0,Patna,18,Budhmarg
0,Bengaluru,4,Gangenahali
0,DELHI/HQ/DIRECTORATE/MINISTRY,4,"Janak Puri-1"
0,DELHI/HQ/DIRECTORATE/MINISTRY,10,Kalkaji-I
0,DELHI/HQ/DIRECTORATE/MINISTRY,6,Shahdara
0,Jabalpur,1010,"Head Post Office Compound"
0,Kolkata,167,BEHALA
0,Kolkata,175,Doverlane
0,Kolkata,92,Narkeldanga
0,Kolkata,122,"Salt Lake AF"
0,Kolkata,134,Shyambazar
0,Kolkata,176,Tollygunj
0,Patna,4,Muzaffarpur
0,Bengaluru,12,Domlur
0,DELHI/HQ/DIRECTORATE/MINISTRY,66,"Chandni Chowk"
0,DELHI/HQ/DIRECTORATE/MINISTRY,1,"FAP CGO complex"
0,DELHI/HQ/DIRECTORATE/MINISTRY,845,Gurugram
0,DELHI/HQ/DIRECTORATE/MINISTRY,146,"Inder Puri"
0,DELHI/HQ/DIRECTORATE/MINISTRY,158,"Janak Puri-2"
0,DELHI/HQ/DIRECTORATE/MINISTRY,178,Kalkaji-I
0,DELHI/HQ/DIRECTORATE/MINISTRY,32,"Kasturba Nagar-II"
0,DELHI/HQ/DIRECTORATE/MINISTRY,284,"Lodhi Road II"
0,DELHI/HQ/DIRECTORATE/MINISTRY,66,"Mayur Vihar Ph-II"
0,DELHI/HQ/DIRECTORATE/MINISTRY,187,"Minto Road"
0,DELHI/HQ/DIRECTORATE/MINISTRY,239,"Nanak Pura"
0,DELHI/HQ/DIRECTORATE/MINISTRY,328,"Nangal Raya"
0,DELHI/HQ/DIRECTORATE/MINISTRY,585,Narela
0,DELHI/HQ/DIRECTORATE/MINISTRY,7,"Nauroji Nagar"
0,DELHI/HQ/DIRECTORATE/MINISTRY,59,"North Avenue"
0,DELHI/HQ/DIRECTORATE/MINISTRY,78,Paharganj
0,DELHI/HQ/DIRECTORATE/MINISTRY,838,"Palam Colony"
0,DELHI/HQ/DIRECTORATE/MINISTRY,111,Patparganj
0,DELHI/HQ/DIRECTORATE/MINISTRY,242,"Pitam Pura"
0,DELHI/HQ/DIRECTORATE/MINISTRY,35,"Pusa Road"
0,DELHI/HQ/DIRECTORATE/MINISTRY,325,"Rajouri Garden"
0,DELHI/HQ/DIRECTORATE/MINISTRY,213,"R.K. Puram VI,Sec.-3"
0,DELHI/HQ/DIRECTORATE/MINISTRY,6,"Sarojini nagar I"
0,DELHI/HQ/DIRECTORATE/MINISTRY,7,"Sarojini nagar market"
0,DELHI/HQ/DIRECTORATE/MINISTRY,181,Shakurbasti
0,DELHI/HQ/DIRECTORATE/MINISTRY,124,SubziMandi
0,DELHI/HQ/DIRECTORATE/MINISTRY,1,"Supreme court"
0,DELHI/HQ/DIRECTORATE/MINISTRY,83,"Telegraph Lane"
0,DELHI/HQ/DIRECTORATE/MINISTRY,207,"Tilak Nagar"
0,Jabalpur,294,"Vaidyanathan Nagar"
0,Kolkata,110,"Lake Area"
0,Kolkata,260,"Lake Town"
0,Kolkata,315,Rajdanga
0,Kolkata,152,"Salt Lake AF"
0,Kolkata,275,"Salt Lake IC"
0,Patna,4,Darbhanga
0,Pune,1,Camp
0,Pune,1,Mukundnagar
0,DELHI/HQ/DIRECTORATE/MINISTRY,14,Faridabad
0,DELHI/HQ/DIRECTORATE/MINISTRY,4,Gurugram
0,Hyderabad,1,Himayatnagar
0,Kolkata,68,"Lake Area"
0,Kolkata,239,Rajdanga
0,Nagpur,4,"Seminary Hills"
0,Patna,4,"Boring Canal Road"
0,Patna,6,"Patna City"
0,Pune,1,Mukundnagar
0,Bengaluru,4,Gangenahali
0,DELHI/HQ/DIRECTORATE/MINISTRY,66,"Chandni Chowk"
0,DELHI/HQ/DIRECTORATE/MINISTRY,278,"Dilshad Garden"
0,DELHI/HQ/DIRECTORATE/MINISTRY,533,Faridabad
0,DELHI/HQ/DIRECTORATE/MINISTRY,1009,Ghaziabad
0,DELHI/HQ/DIRECTORATE/MINISTRY,178,Jangpura
0,DELHI/HQ/DIRECTORATE/MINISTRY,32,"Kasturba Nagar-II"
0,DELHI/HQ/DIRECTORATE/MINISTRY,455,"Kidwai Nagar"
0,DELHI/HQ/DIRECTORATE/MINISTRY,328,"Kingsway Camp"
0,DELHI/HQ/DIRECTORATE/MINISTRY,124,"Lajpat Nagar"
0,DELHI/HQ/DIRECTORATE/MINISTRY,570,"Mayur Vihar"
0,DELHI/HQ/DIRECTORATE/MINISTRY,113,"Pragati Vihar"
0,DELHI/HQ/DIRECTORATE/MINISTRY,26,"Pratap Vihar"
0,DELHI/HQ/DIRECTORATE/MINISTRY,35,"Pusa Road"
0,DELHI/HQ/DIRECTORATE/MINISTRY,168,"R.K. Puram II,Sec.2"
0,DELHI/HQ/DIRECTORATE/MINISTRY,594,"R.K. Puram I,Sec.-4"
0,DELHI/HQ/DIRECTORATE/MINISTRY,313,"R.K. Puram V,Sec.-12"
0,DELHI/HQ/DIRECTORATE/MINISTRY,181,Shakurbasti
0,DELHI/HQ/DIRECTORATE/MINISTRY,1,"Supreme court"
0,DELHI/HQ/DIRECTORATE/MINISTRY,178,"Vasant Vihar"
0,DELHI/HQ/DIRECTORATE/MINISTRY,710,"Yamuna Vihar"
0,Jabalpur,294,"Vaidyanathan Nagar"
0,Kolkata,159,Belvedere
0,Kolkata,379,Siliguri
0,Patna,2,Chhapra
0,Trivandrum,2,Vanchiyoor
0,DELHI/HQ/DIRECTORATE/MINISTRY,115,"Chanakya Puri"
0,DELHI/HQ/DIRECTORATE/MINISTRY,143,"ChitraGupta Road"
0,DELHI/HQ/DIRECTORATE/MINISTRY,373,"Delhi Cantt"
0,DELHI/HQ/DIRECTORATE/MINISTRY,41,"Dr. Zakir Hussain Road"
0,DELHI/HQ/DIRECTORATE/MINISTRY,268,"GKG WC"
0,DELHI/HQ/DIRECTORATE/MINISTRY,743,"Laxminagar (Allopathy)"
0,DELHI/HQ/DIRECTORATE/MINISTRY,284,"Lodhi Road II"
0,DELHI/HQ/DIRECTORATE/MINISTRY,506,"M.B. Road"
0,DELHI/HQ/DIRECTORATE/MINISTRY,328,"Nangal Raya"
0,DELHI/HQ/DIRECTORATE/MINISTRY,585,Narela
0,DELHI/HQ/DIRECTORATE/MINISTRY,59,"North Avenue"
0,DELHI/HQ/DIRECTORATE/MINISTRY,242,"Pitam Pura"
0,DELHI/HQ/DIRECTORATE/MINISTRY,20,"Rajpur Road"
0,DELHI/HQ/DIRECTORATE/MINISTRY,213,"R.K. Puram VI,Sec.-3"
0,DELHI/HQ/DIRECTORATE/MINISTRY,235,Sahibabad
0,DELHI/HQ/DIRECTORATE/MINISTRY,1,"Sarojini nagar II"
0,DELHI/HQ/DIRECTORATE/MINISTRY,197,"Shalimar Bagh"
0,DELHI/HQ/DIRECTORATE/MINISTRY,38,"South Avenue"
0,DELHI/HQ/DIRECTORATE/MINISTRY,83,"Telegraph Lane"
0,DELHI/HQ/DIRECTORATE/MINISTRY,207,"Tilak Nagar"
0,DELHI/HQ/DIRECTORATE/MINISTRY,803,"Vasant Kunj"
0,DELHI/HQ/DIRECTORATE/MINISTRY,237,"Zila Sainik Board (Faridabad-II)"
0,Jabalpur,406,"Napier Town"
0,Jabalpur,752,"Westland Khamariya"
0,Kolkata,55,"AIIH&PH Campus"
0,Kolkata,652,Airport
0,Kolkata,54,"Bhowanipore- Kalighat"
0,Kolkata,269,Doverlane
0,Kolkata,186,Shyambazar
0,Patna,2,Chhapra
0,Ranchi,4,"New AG Colony"
0,Bengaluru,4,Gangenahali
0,DELHI/HQ/DIRECTORATE/MINISTRY,143,"ChitraGupta Road"
0,DELHI/HQ/DIRECTORATE/MINISTRY,522,Dwarka-23
0,DELHI/HQ/DIRECTORATE/MINISTRY,1300,"Dwarka -9"
0,DELHI/HQ/DIRECTORATE/MINISTRY,158,"Janak Puri-2"
